Protocol,Opening Price,Closing Price,% Difference,Chart
Terra,18.7,38.2,104.28%,
Avalanche,28.9,66.03,128.48%,
Uniswap,29,23.87,-17.69%,
Chainlink,30.43,23.99,-21.16%,
Wrapped Bitcoin,59126.22,43757.39,-25.99%,
Fantom,0.42,1.2226,191.10%,
Dai,1.0044,1.0006,-0.38%,
The Graph,1.78,0.64,-64.04%,
Tezos,5,6.79,35.80%,
Pancake Swap,17.85,18.87,5.71%,
Aave,384.24,276.42,-28.06%,
Loopring,0.54,0.36,-33.33%,
THORchain,8.71,6.98,-19.86%,
Maker,2300,2286.25,-0.60%,
Compound,460.56,313.56,-31.92%,
Curve DAO Token,3.14,2.32,-26.11%,
Basic Attention Token,1.16,0.63,-45.69%,
SushiSwap,15.02,10.2,-32.09%,
Yearn.finance,36361.59,29049.1,-20.11%,
Secret,3.34,1.92,-42.51%,
Synthenix,18.63,9.47,-49.17%,
Perpetual Protocol,8.39,14.65,74.61%,
Bancor,7.5,3.42,-54.40%,
renBTC,59101.8,43359.93,-26.64%,
Ox,2.06,0.86,-58.25%,
Ankr,0.16,0.07,-56.25%,
Serum,5.48,7.52,37.23%,
Ren,1.06,0.93,-12.26%,
Uma,24.85,9.13,-63.26%,
dYdX,O,22.91,#VALUE!,
Raydium,9.22,9.49,2.93%,
1inch Network,4.46,2.63,-41.03%,
Gnosis,159.88,250.17,56.47%,
Mdex,3.79,1.12,-70.45%,
Reserve Rights,0.09,0.03,-66.67%,
Ocean Protocol,1.47,0.64,-56.46%,
Kava,6.17,5.4,-12.48%,
Neutrino USD,0.99,0.98,-1.01%,
Injective Protocol,13.01,9.78,-24.83%,
Alpha Finance Lab,1.77,0.855,-51.69%,
Reef,0.039,0.01,-74.36%,
Chromia,0.41,0.28,-31.71%,
Swipe,3.68,2.18,-40.76%,
Coti,0.44,0.6,36.36%,
Numeraire,52.98,41.22,-22.20%,
BakeryToken,1.14,1.68,47.37%,
Fei USD,0.88,0.99,12.50%,
Orgin Protocol,1.86,0.73,-60.75%,
iExec RLC,2.76,3.44,24.64%,
Badger DAO,43.01,15.51,-63.94%,
Ampleforth,0.88,0.92,4.55%,
Venus,63.47,21.65,-65.89%,
Augur,40.43,20.12,-50.23%,
Proton,0.02,0,-100.00%,
NXM,74.58,115.7,55.14%,
DeFiChain,3.39,2.24,-33.92%,
Convex Finance,7.23,8.45,16.87%,
Frax,1,1,0.00%,
Liquity USD,1,0.99,-1.00%,
Rocket Pool,15.83,32.43,104.86%,
Tribe,2.23,0.58,-73.99%,
Rari Governance Token,11.46,23.42,104.36%,
Bonfida,1.833,6.01,227.88%,
Keep Network,0.7,0.35,-50.00%,
Frax Share,9.26,4.42,-52.27%,
Mango Market,0.18,0.32,77.78%,
Alchemix,1712.06,217.98,-87.27%,
TrueFi,0.5,0.43,-14.00%,
Kyber Network Crystal v2,1.4,1.51,7.86%,
Mobox,2.35,4.46,89.79%,
Linear,0.14,0.03,-78.57%,
Orion Protocol,20.53,8.28,-59.67%,
Ellipsis,4.3,0.47,-89.07%,
Mirror Protocol,8.39,2.87,-65.79%,
Polkastarter,3.74,1.56,-58.29%,
Telos,0.17,0.68,300.00%,
DeFi Pulse Index,433.97,310.23,-28.51%,
Enzyme,113.88,138.33,21.47%,
PEAKDEFI,0.4,0.28,-30.00%,
Request,0.17,0.17,0.00%,
Anyswap,2.9,6.3,117.24%,
AP13,9.53,3.17,-66.74%,
Uquid Coin,15.42,13.01,-15.63%,
Just,0.13,0.06,-53.85%,
DODO,4.21,1.16,-72.45%,
Wanchain,1.84,0.75,-59.24%,
Haven Protocol,16.19,5.02,-68.99%,
BarnBridge,47.93,23.73,-50.49%,
Balancer,56.31,19.86,-64.73%,
ApeSwap Finance,0.93,2.41,159.14%,
Standard Tokenization Protocol,0.11,0.05,-54.55%,
Strike,75.1,49.77,-33.73%,
Liquity,29.09,4.61,-84.15%,
BitShares,0.09,0.03,-66.67%,
DFI.Money,2357.25,4026.28,70.80%,
DerivaDAO,6.97,6.19,-11.19%,
IDEX,0.15,0.32,113.33%,
Tellor,80.93,42.55,-47.42%,
